arouse	вызывать, пробуждать	Something aroused their interest.
shine (shone, shined)	сиять, блестеть, светить	The city is shining like it never has before.
kid	шутить, разыгрывать	What? Are you kidding me?
late	покойный	His late grandma smoked a lot.
initial	первоначальный	Tilbery was the initial point of our route.
rather	скорее, предпочтительнее	No, thanks, I'd rather not go.
compose	составлять, сочинять	Listen to what I just composed.
spark	искра, вспыхивать	This compound gives more sparks.
deal with	иметь дело с	Never deal with Gypsies.
log	бревно	Yes, it's this very log. I recognize it.
insight	понимание, догадка	At that moment, a sudden insight struck me.
water down	разбавить, ослабить	I think they water down the beer.
secular	светский	The United States is a secular state.
fight off	отбить	They are not able to fight off the attack.
throat	горло	My throat still aches. No singing today.
tissue	ткань	Bone tissue is significantly harder than cartilage.
prepare	приготовить	I had just an hour to prepare for the journey.
elder	старший	His name is Nyaa, he is my elder brother.
flood	потоп, наводнение, наводнять	Floods happen regularly around here.
feel like	хотеть	I just felt like dancing and dancing till I drop.
buck	самец, обычно рогатых	I think this buck is not dangerous.
promote	поощрять, помогать	After that, I was promoted to second lieutenant.
stamp	печать, штамп, марка	They just forgot to put a stamp on the paper.
wet	мокрый, мочить	It is true that most cats don't like to be wet.
transition	переход	The transition from fish to amphibian was completed.
alien	чужак, пришелец, иммигрант	Aliens should be eliminated.
aircraft	самолёт, авиация	They are testing their new supersonic aircraft.
contribute	способствовать, вносить вклад	All the allies contributed to the victory.
grasp	схватывать	The robot can speak and grasp things.
deny	отрицать	You still deny that you knew her?
at last	наконец	At last, we came to the sea.
however	однако	However, good evening.
upper	верхний	Bring it here. It's on the upper shelf.
lower	нижний	And a vial from the lower shelf over there.
mode	режим, способ, вид	The camera was in the wrong mode.
tight	тугой, тесный	They are bit too tight, but look better.
ceiling	потолок, перекрытие	Do you see the fly on the ceiling?
grade	класс, уровень	The eighth grade was the worst year of my life.
participate	участвовать	Last year I participated in the Boston marathon.
roast	жарить	Coffee beans are roasted before grinding.
step	шаг, ступать, ступенька	Just take the first step.
yield	уступать	It happened over here under the yield sign.
connect	соединять	The Panama Canal connects two oceans.
slam	хлопать, ударять, захлопывать	The doors slammed before my nose.
pay off	расплатиться (с долгом)	This week we paid off our mortgage.
complicate	усложнять	Don't complicate what is not required.
though (even though)	хотя	Even though it was scary, it was a lot of fun!
luxury	роскошь	He lived in luxury and vice.
endorse	одобрять, поддерживать	No self-respecting country can endorse it.
arrest	задерживать, тормозить	A dead calm arrested our progress.
nominate	выдвигать, номинировать	3 candidates were nominated.
kind	тип, вид	Racuchy is a kind of pancake.
ounce	унция	On one occasion, he stole three ounces of gold.
origin	происхождение, начало	Darwin published The Origin of Species in 1859.
grave	серьёзный	The gravest danger comes from hippos.
south	юг, южный	I'm in South America. Still can't believe it.
forth	дальше, вперёд	Lisa paced back and forth along the log.
spell out	разъяснить	Let me spell this out once more.
sight	вид, поле зрения	They soon got out of my sight by going down.
alone	в одиночестве	In this city you can walk alone and feel safe.
catch on	становиться популярным	Hats are catching on like never before.
pain	боль	Life is pain. Life is suffering. Accept it.
disappoint	разочаровывать	No need to say I was disappointed.
funeral	похороны, похоронный	Will you attend my funeral?
suit	костюм, комплект	Yes, a guy in a diving suit came over last night.
busy	занятый	I'm busy. Don't call me today or tomorrow or ever.
quote	цитировать	Let me quote sir Winston Churchill.
mayor	мэр	Call Mayor Brian Smith, 705-429-3844.
sympathy	сочуствие	I wanted neither forgiveness nor sympathy.
hill	холм	Rwanda is called the land of 1000 hills.
take on	соревноваться, столкнуться	That day Chelsea took on Everton.
realize	понимать	Imagine my shock when I realized what I had done.
mystery	тайна	The mystery of the old house remained unsolved.
desk	письменный стол	It is strange to see a desk without a computer.
recover	восстановиться, выздороветь	She recovered a bit and ran away.
blend	смешивать	Blend white and brown to get the needed color.
drift	дрейфовать или дрифтовать	It's OK, we are drifting eastward.
mountain	гора, горный	My mountain bike is better than yours.
yield	приносить (доход)	This plantation yields 300 tons of cotton a year.
stop over	заехать, остановиться	Let's stop over at that bridge to take a photo.
suppose	полагать	I suppose it's exactly what we should do.
fate	судьба, участь	Fortuna is a goddess of fate and chance.
stand	терпеть, выносить	I can't stand her singing.
drag	тащить, волочить	He dragged me for fifty yards.
invite	приглашать	I hate being invited to weddings.
confer	дать, принести, присудить	In 2012 I was conferred an honorary degree.
crowd	толпа	The crowd was eager to see Narendra Modi.
tell off	ругать	During the break, the coach told me off severely.
flee (fled, fled)	спасаться бегством	Jack was fleeing like mad.
rally	оживать, приходить в себя	She rallied a bit and was visited by the president.
get ahead	преуспевать, продвигаться	It's an easy way to get ahead financially.
bench	скамейка	Wait for me on this bench till I join you.
insist	настаивать	Mugabe insisted that he was not such a dictator.
aside from	кроме	Aside from hats, they sell drugs.
shoot (shot, shot)	стрелять	Marty learned to shoot in 7-Eleven.
update	обновлять, обновление	Due to this, we had to update the speed signs.
chart	схема, график, таблица	What can you conclude from this chart?
handle	управляться, обращаться	Can you handle the curvimeter?
extent	степень, мера	To a large extent, it depends on what the task is.
harm	вред, вредить	Well, and what harm is there in that?
objective	цель	Our objective is to have a good time in Greece.
kick around	обсудить (разг.)	I think it's a good idea. Let's kick it around.
moreover	более того	Moreover, they turned out to be fake.
even	ровный	The road was even, and I could go around 50 mph.
fine	штраф	I received 7 speeding fines from cameras.
perceive	воспринимать, ощущать	Dogs perceive something that humans can't.
tentative	пробный, экспериментальный	I'm like a child taking my first tentative steps.
pass away	умереть	My granddad passed away in January.
total	полный, всеобщий	It was a total mobilization for a total war.
stream	поток, ручей	It starts as a mountain stream in the Highlands.
incredible	невероятный	I can not believe what I see. Incredible!
sin	грех, грешить	Don't tell the pope, but even nuns sin.
gaze	пристально глядеть	Stop gazing through the window. Listen to me.
prohibit	запрещать	Defecating is prohibited for dogs here.
perk up	воспрянуть, оживиться	The flowers perked up after the rain.
arrange	организовать, уладить и т.д.	We arranged a brilliant scheme.
subtitle	субтитры или подзаголовок	Do you watch movies with subtitles?
sense	чувство, осознание	You have five senses. I have six.
plenty	множество, масса, достаток	We have plenty of pumpkins for Halloween.
train	тренировать	I'm Henry, I train dogs.
porch	крыльцо, терраса, веранда	They were sitting on the porch with champagne.
venture	авантюра, предприятие, решиться	I didn't venture to go with them.
importance	важность	It's a text of great importance.
employ	использовать	Most appliances employ alternating currents.
margin	край, граница	Can you make out the notes on the margin?
stun	ошеломить, оглушить	When he won, I was stunned.
still	спокойный, неподвижный	So the sun stood still, and the moon stopped.
tax	налог	What if I didn't pay taxes last year?
take apart	разбирать	We can take a bicycle apart in no time.
impact	воздействие, удар	The blast impact threw them on the ground.
mount	подниматься, забираться	I mount a horse with ease and dexterity.
on the contrary	наоборот	On the contrary, I like rain very much.
probe	исследовать, проверить	Probe the snow depth every meter along the line.
deliver	рожать	Hana safely delivered their sixth child.
supreme	высший, верховный	It was called the Cult of the Supreme Being.
stun	ошеломить, оглушить	When he won, I was stunned.
still	спокойный, неподвижный	So the sun stood still, and the moon stopped.
tax	налог	What if I didn't pay taxes last year?
take apart	разбирать	We can take a bicycle apart in no time.
impact	воздействие, удар	The blast impact threw them on the ground.
mount	подниматься, забираться	I mount a horse with ease and dexterity.
on the contrary	наоборот	On the contrary, I like rain very much.
probe	исследовать, проверить	Probe the snow depth every meter along the line.
deliver	рожать	Hana safely delivered their sixth child.
supreme	высший, верховный	It was called the Cult of the Supreme Being.
attempt	попытка, пытаться	The first attempt to launch a rocket failed.
examine	осмотреть, изучить	He examined my tongue and said 'hm'.
necessary	необходимый	A compass is necessary for sea voyages.
accustom	приучить	Accustom your cat to use a human toilet.
foundation	фундамент	The major stone foundations still remain.
halt	останавливаться	She halted and looked down at the ground.
bell	колокол, колокольчик	Ring the bells, wake the town.
fall asleep	уснуть	I lay down and fell asleep despite the loud music.
advance	продвигаться, продвижение	That day they advanced 5 miles more.
fiction	вымысел, худ.литература	It's because you don't read science fiction.
submit to	подчиниться	Submit to God's will, my little one.
by the way	кстати	By the way, he asked me about you.
distribute	распределять	The population is distributed unequally.
celebrity	знаменитость	I love taking photos with celebrities.
goods	товары	These boats are used for the transportation of goods.
break	перерыв, перемена	Life's hard. Take a break, eat a cake.
burden	бремя, нагружать	We don't carry the White Man's Burden anymore.
accomplish	выполнить, завершить	The task is accomplished, my lord.
turn on	включить	If you smell gas, don't turn on or off any switches.
turn off	выключить	When we hear him coming, we turn off the light.
serve	служить	3 % of all living Americans have served in the army.
janitor	дворник, уборщик	I started off as a janitor.
supplement	дополнение, дополнять	I tried all the weight loss supplements.
confident	уверенный	You have to be confident in what you do.
bake	печь (выпекать)	Baking bread is not what I do best.
capacity	ёмкость, вместимость	The capacity of its trunk is remarkable.
trip	поездка	I'll tell you about our trip to Vegas.
abandon	оставить, забросить	Millions of people abandoned their countries.
ban	запрещать	Governments try to ban websites.
exceed	превышать	The depth exceeds my height.
mutual	взаимный	These two has a mutual dislike for one another.
sneakers	кеды, кроссовки	There are handmade sneakers, designer jeans.
whisper	шептать	Don't come anymore, she whispered.
restore	восстанавливать	They tried to restore it to its original state.
brake	тормоз	Don't confuse gas and brake pedals.
tackle	взяться за что-л.	My husband tackled the plumbing himself.
rare	редкий	It was a lovely rare caterpillar.
account	счёт (в банке)	I have accounts in six banks and some cash.
dense	густой	The forest got denser and the trees bigger.
within	в течение	I can cook it within 15 minutes or less.
size up	изучить, оценить	Ken is sizing you up carefully.
makeup	макияж	Your makeup shouldn't be overdone.
manual	ручной	No, manual labor is not for me.
charge	заряжать, нагружать	This guy can charge your cell phone for a dollar.
assure	уверять	I assure you he is not worth your regard.
enforce	внедрить, навязать	They try to enforce a new fishing law.
carry	носить	Carry loads on your head to keep your hands free.
bullet	пуля	We will use rubber bullets against you.
mention	упоминать	It's important, we should mention it.
shy	застенчивый	It's hard to believe, but she was a shy child.
take over	принять обязанности	Today I'm taking over as president of the US.
lean over	наклониться над, через	The guy leaning over a table is Luís, later Luís I.
resort	курорт	Ocean City is a small resort town.
landscape	пейзаж	How do you like my landscape?
opportunity	возможность	Think about the opportunities you have lost.
commission	поручение, полномочие	His next commission was even worse.
smart	умный, хитрый	Ravens are as smart as chimps.
van	фургон	Heather came up with the idea of a food van.
strength	сила, мощность, прочность	But Bob's strength is not his greatest asset.
certain	определённый, уверенный	You'll need certain herbs, spices and vegetables.
whether	ли	You never know whether or not he is joking.
agriculture	сельское хозяйство	Why don't you try yourself in agriculture?
gather	собирать (ся)	All the village gathered to listen to them.
round	круг, круглый	Actually, Earth is not round.
read up on	изучить вопрос	Read up on that island before going there.
prosecute	преследовать (законодательно)	I think prostitutes should not be prosecuted.
give away	выдать (раскрыть)	You must be Russian. Your accent gives you away.
continue	продолжить	We continued rowing till sundown.
line up	встать в очередь	Line up and wait for your turn.
mistake for	принимать за	I mistook this man for Hitler at first.
suppress	подавлять, удерживать	Ryan could hardly suppress the laughter.
charge	обвинять	Nick was arrested and charged with murder.
grant	давать, дарить	Oh god...grant me some wisdom.
swear	клясться	Repeat after me: I swear by Almighty God…
profound	глубокий (перен.)	Our knowledge of the ocean is not profoud.
fall in love with	влюбиться	I fell in love with her that very moment.
all along	всё время	Rebecca carried her camera around all along.
reproduce	воспроизводить	The experiment reproduced real prison conditions.
article	статья	Read this article about Bowne & Co. Stationers.
therefore	следовательно	I think, therefore, I am. (с)
after all	всё-таки, в конце концов	It was a great day, after all.
direct	прямой (обычн. перен.знач.)	It's the shortest direct flight to New York.
background	происхождение, предыстория и т.д.	This problem has a long background.
chief	вождь, начальник, главный	Sitting Bull was the most influential Sioux chief.
disabled	инвалид (прил.)	I have no arms and legs, but I don't feel disabled.
shower	душ	I always sing when I take a shower.
display	показ(ывать), демонстрировать	Everyone can display his talents here.
extreme	крайний	Cape Froward is the extreme point of S. America.
spell	произносить (писать) по буквам	Aaheluehz spells like A, A, H, E, L, U, E, H, Z.
oath	клятва, присяга	He took an oath and joined Filiki Etairia.
protect	защищать	Be sure to protect your skin with sunscreen.
store	хранить, хранилище	Red wine is stored in oak vats for 6-8 months.
contemporary	современный, современник	Contemporary Hong Kong is different from China.
personnel	персонал, личный состав	Trained personnel is the most important asset.
citizen	гражданин	This terrorist was an Emirates citizen.
grab	схватить, нахапать и т.д.	Grab as much as you can, any way you can.
run out of	исчерпать запас	On the halfway, we ran out of gas.
cave	пещера, полость	It was my third cave tour of the year.
random	выбранный наугад	This is a random picture from the internet.
marry	жениться, выйти замуж	I wonder how she could marry a man like him.
puzzle	озадачить	The girl looked puzzled. So did her cat.
remains	остатки, останки	Here are the remains of that tower.
belong to	принадлежать	These tracks belong to a squirrel.
obstacle	препятствие	This obstacle will not stop us, will it?
swan	лебедь	Black swans exist but are rare.
lean	худой	Bob was tall, lean and awkward.
early	рано, ранний	Early morning, it's time to go home.
object	возражать	Before I could object, she threw her cup at me.
memory	память	Memory is not a closet, memory is a process.
float	плыть	I watched a leaf floating down a stream.
crime	преступление	The crime scene was cordoned off and examined.
feel for	сочувствовать	Liza feels for homeless cats and brings them home.
anyway	в любом случае	This is not what I asked for, but thank you anyway.
bitter	горький	Its berries are bitter but beneficial.
perfect	совершенный	The ice is perfect for skating, isn't it?
drain	слив, водосток	The storm drain system flows directly to the river.
major	главный, большой	Vesak is the major Buddhist festival of the year.
shell	скорлупа, раковина, гильза	Here, take this sea shell as a remembrance.
guideline	общее правило, принцип	Rick made up four guidelines to live by.
asleep	спящий	Stella pretended to be asleep.
sigh	вздох	'Ah,' sighed Miri, 'if I had only known'.
different	разный, отличающийся	Male and female Redstarts look different.
crack	трескаться, трещина	If the ice is cracked, don't fish on it!
instead	вместо	We allow visitors to ride cows instead of horses.
delicate	тонкий, нежный, хрупкий	Grasshoppers are delicate creatures.
boom	заграждение, пояс	They set up booms to stop any further pollution.
band	ансамбль	They are the best selling band in history.
chip	щепка, стружка	Put some chips into the fireplace.
stay	оставаться	So they went away, and I stayed alone.
dismiss	прогонять, посылать, увольнять	Before the battle Decius dismissed his lictors.
domain	область, сфера, владение	This forest is my domain.
agree	соглашаться	The men agreed with him, the women didn't.
although	хотя и	Although it was raining, we went surfing.
soon	скоро или рано	Bob Marley died too soon. I miss him.
slide (slid, slid)	скользить	I slid down five or six times.
endanger	подвергать опасности	This tree endangers our workers.
possess	обладать	Humans possess canines so they are carnivores.
truck	грузовик	This truck must carry something special.
similar	похожий	Huskies are similar to wolves in this regard.
piece	предмет, часть, кусок	In the US this piece of furniture is called a hutch.
domain	область, сфера, владение	This forest is my domain.
agree	соглашаться	The men agreed with him, the women didn't.
although	хотя и	Although it was raining, we went surfing.
soon	скоро или рано	Bob Marley died too soon. I miss him.
slide (slid, slid)	скользить	I slid down five or six times.
endanger	подвергать опасности	This tree endangers our workers.
possess	обладать	Humans possess canines so they are carnivores.
truck	грузовик	This truck must carry something special.
similar	похожий	Huskies are similar to wolves in this regard.
piece	предмет, часть, кусок	In the US this piece of furniture is called a hutch.
military	военный	Do you like military parades? I don't.
liberty	свобода	The Statue of Liberty stands on the Liberty Island.
proud	гордый, гордящийся	He is just proud of being a lion.
recall	вспоминать	I often recall those summer days and nights.
steal (stole, stolen)	красть	A fox cub stole the bird feeder.
fade	увядать, блекнуть	Every flower will fade and lose its fragrance.
pump	насос, нагнетать	The pump's jammed.
put in	вложить	I put in 770 dollars to build this submarine.
dive	нырять	It's the best diving cliff around here.
lung	легкое	Are your lungs okay? How is your breathing?
tip	кончик, верхушка	You see the tip of the iceberg, about 20 % of it.
integrity	честность, порядочность	All depends on the policeman's integrity.
excavate	рыть, выкапывать	A Roman town was excavated near Corbridge.
rest	остаток, остальное	Wait, let me finish off the rest of my beer.
chest	грудь (грудная клетка)	I felt something in my chest was broken.
wedding	свадьба	It's a traditional Ghanaian wedding photo.
legal	законный, правовой	I know the basic concepts of our legal system.
consider	рассматривать, учитывать	There's another factor we should consider.
drag on	тянуться долго	The speech seemed to drag on for ages.
occupation	профессия, род деятельности	Some advise me to change my occupation.
check into	лечь (в больницу)	I had to check into the hospital.
courage	мужество	Courage is not the absence of fear.
gates	ворота	The gates are closed. I thought so.
tongue	язык	It catches insects with its tongue.
event	событие	A full moon on Friday the 13th is a very rare event.
fault	недостаток, неисправность	Big ears is not a fault but an advantage.
give out	раздать, выдать	I didn't study well and now I give out booklets.
civilian	гражданский	Civilians are not allowed here. Go away.
restrict	ограничивать	Roads are closed, and access is restricted.
nut	орех	Fresh nuts, very tasty.
embrace	обхватить, обнять, обхват	How many of us does it take to embrace it?
both	оба	Both horses are good runners. Buy them both.
hug	объятие, обнимать	Come on, let me give you a hug.
battle	битва	The British lost around 350 men in that battle.
go under	разориться	My bank went under. I lost my job.
bridge	мост	The rain caught me at the Brooklyn bridge.
indigenous	коренной, местный	I bought it from an indigenous woman in Tecpan.
beef	говядина	She is a vegetarian, she doesn't eat beef.
dish	тарелка или миска	They've left, and I have a pile of dishes to wash.
create	создавать	On the fifth day, God created birds and fish.
ever	когда-либо	Have you ever seen northern lights?
in a row	подряд	Can you light it ten times in a row?
inch	дюйм	One inch equals 2.54 centimeters.
glory	слава, сияние	I have every right to enjoy my moment of glory.
loud	громкий	We borrowed a loudspeaker from Max.
utility	полезность	Its utility is doubtful to my opinion.
fund	фонд, финансировать	The fund was set up to help people like you.
sentence	предложение	Here is a story of one sentence.
distant	отдалённый	The distant thunderstorm got closer and closer.
curve	изгибать, кривая	The road was curved but open.
evident	очевидный	Your faults are evident to everyone but yourself.
decline	снижаться, снижение	Unfortunately the number of penguins declines.
inside	внутри	You wanna know what's inside?
value	ценность, оценивать	It's a book of great historical value.
rate	показатель, уровень	South Africa's rape rate is extremely high.
community	община, сообщество	Polygamy is still practiced in this community.
advise	советовать	My physician advised me to work less.
consistent	последовательный	It takes thirty consistent days to make a habit.
apply	применять, применяться	Well, can you apply the right-hand rule?
length	длина	The length of the snake was around 50 cm.
come up to	подойти к кому-л.	Come up to the policeman and ask him.
calm	спокойный, успокоить	The September night was calm and fresh.
justice	правосудие, справедливость	Themis holds a sword and scales of justice.
chapter	глава	This chapter reads like delirium.
ratio	соотношение, пропорции	The golden ratio rule is applied in this building.
block	кусок, глыба и т. д.	This block of ice consists of fresh water.
leave (left, left)	уйти, покинуть	We're leaving. Are you staying here?
various	разнообразный	That's what we need! Pigments of various colors.
refer	сослаться, отослать	The link under the picture refers to its source.
base	основа, основывать	The base of the tower has been reinforced.
quality	качество, качественный	The quality of Chinese knives sucks.
tops	самое большое	Come on. It will take two hours tops.
constant	постоянный	Rain is almost constant during the summer.
roll up	свернуть, скатать	Roll up your sleeves and get down to work.
boat	лодка, судно	Let's look what's in that boat.
amuse	развлечь, порадовать	Toby knows how to amuse guests.
health	здоровье	My health is perfect, my mood is happy.
deserve	заслуживать	You deserved it, my congratulations.
explain	объяснять	They explained to me how to get to the city.
pleasure	удовольствие, наслаждение	Dancing is our chief pleasure and joy.
notion	понятие, представление	What do we know about their religious notions?
salmon	лосось	However, the salmon steak is the best.
sweep (swept, swept)	подметать	She starts her day with sweeping her yard.
exist	существовать	Believe it or not, they exist!
dump	сваливать, сбрасывать свалка	The assholes just dump it into the river.
ask around	поспрашивать	I've never seen her, but you should ask around.
report	доклад, отчёт	Every day I make these useless reports.
angle	угол, угловой	Find the value of angle X. You have 15 seconds.
rumor (rumour)	слух	Nasty rumors are circulating about you.
fall over	упасть, перевернуться	Don't fall over while doing that.
send out	рассылать	The motherfuckers send out tons of junk mail.
maintain	поддерживать, сохранять	Maintain a safe distance while driving in the rain.
blame	винить	I don't blame you, but you behaved like a jerk.
resume	возобновить	At sunrise, we resumed our journey.
persuade	убеждать	He persuaded Mr. Clarke to sell that old house.
whale	кит	The whale is also a symbol of good luck.
whip	кнут, хлестать	Take the whip and go for the cows.
beneath	ниже, под	Exuberant life hides beneath the sea waves.
measure	измерять, измерение	This device measures chlorophyll in plants.
century	век	I've seen centuries pass, civilizations fall.
summit	вершина, верх	A cross was erected on its summit.
let up	прекратиться, стихнуть	After the storm let up, we headed outside.
in spite of	несмотря на	In spite of his age, he was still healthy and strong.
palm	ладонь	Ah, it's tickling my palm.
affection	привязанность, влечение	His affection started to bore me.
content with	довольный, довольство	I was content with my life until that day.
sustain	поддерживать	This will sustain the fire for a while.
pick	подбирать, собирать	I tried to make some money picking berries.
adjust	настраивать, поправлять и т.д.	Ridley adjusted his tie and nodded.
face	столкнуться (перен)	What do you do when you face difficulties?
freeze (froze, frozen)	замораживать	We used to play hockey on the frozen lake.
undertake	предпринимать	Phoenicians undertook distant voyages.
mess	беспорядок, путаница	My brother's room is always in a mess.
sure	уверенный	Are you sure you have not forgotten anything?
spring (sprang, sprung)	источник, проистекать	The brook springs from the rocky hill.
hurricane	ураган	I'm not afraid of hurricanes.
supervise	надзирать, контролировать	His job was to supervise the slaves.
licence (license)	разрешение	I lost my driver's license in a bar last night.
withdraw	отводить, убирать	He withdrew his savings from the bank and fled.
pretext	повод	This was just a pretext to get rid of me.
freeze (froze, frozen)	замораживать	We used to play hockey on the frozen lake.
undertake	предпринимать	Phoenicians undertook distant voyages.
mess	беспорядок, путаница	My brother's room is always in a mess.
sure	уверенный	Are you sure you have not forgotten anything?
spring (sprang, sprung)	источник, проистекать	The brook springs from the rocky hill.
hurricane	ураган	I'm not afraid of hurricanes.
supervise	надзирать, контролировать	His job was to supervise the slaves.
licence (license)	разрешение	I lost my driver's license in a bar last night.
withdraw	отводить, убирать	He withdrew his savings from the bank and fled.
pretext	повод	This was just a pretext to get rid of me.
leave behind	оставить, забыть	Don't leave your dog behind. Take it with you.
poll	опрос или голосование	The poll showed nothing had changed.
operate	управлять, работать с	This drone is very easy to operate.
cast (cast, cast)	бросать, метать	The cave was dark and a torch cast a yellow light.
may	пусть	May your every day be better than the last.
temple	храм	It's one of the best-preserved Roman temples.
beside	рядом	The church is just beside the skyscraper.
effort	усилие, старание	But all our efforts came to nothing.
west	запад	Welcome to the Wild West!
furniture	мебель	It's Liao dynasty furniture.
stroke	гладить	Go and stroke the elephant, they like it.
facilitate	облегчать, способствовать	The wax facilitates sliding.
elbow	локоть	Learn how to perform the elbow strike.
testify	свидетельствовать	I'm ready to testify against him.
match	спичка	He lit a match and looked into the gas tank.
butt in	встревать, вмешиваться	Sorry to butt in on the conversation, but you're wrong.
circle	круг, окружность	Laure was sitting in the circle of fire.
occur	случиться	Tornadoes occur here a number of times a year.
assemble	собирать	Now you can assemble it back.
dry	сухой, сушить, засуха	Giraffes don't suffer from the dry.
vacation	отпуск, каникулы	The next vacation is in 11 months.
stumble	спотыкаться, запинаться	There is a funny statue of a stumbling policeman.
shore	берег	Okay, so let's stay on the shore
apology	извинение(я)	Do you accept my apology?
plain	ясный, очевидный	It's plain that they lie. They always do.
involve	вовлекать, увлекать	The police arrested all involved in the case.
flash	вспышка, вспыхнуть	It looked like a scary flash on the horizon.
assess	оценить	They tried to assess the damage to my brain.
patient	терпеливый	Cats are patient. Be like a cat.
support	поддерживать	Look at the Atlants, supporting the balcony.
rock	качать, трясти	The boat rocked right. The boat rocked left.
toe	палец (ноги)	She loved wearing toe rings.
common	общий	But the roof is a common area.
engaged	помолвленный (-ая)	His name is Rick. We are engaged.
famous	знаменитый	No doubt, he is the most famous Serb of today.
gear	механизм, привод, передача	Sorry, the gear is out of order.
discriminate	различать, разделять	Learn to discriminate between mushrooms.
mortgage	ипотека	I can afford a 30-year mortgage.
solar	солнечный	How many planets are in the Solar System?
apart	отдельно, врозь	Pentheus was torn apart.
opinion	мнение	Now keep calm and listen to my opinion.
accommodate	размещать, вмещать	The hostel accommodates up to 48 guests.
satisfy	удовлетворять	I'm completely satisfied with my new car.
mankind	человечество	All mankind comes from Africa.
midnight	полночь	It's a minute before midnight, get ready.
accompany	сопровождать	She was accompanied by a black Labrador dog.
refuse	отказаться	She even refused to discuss it.
curriculum vitae	резюме, биография	He has a good curriculum vitae, let's take him on.
cheerful	весёлый, неунывающий	Only cats wake up in a cheerful mood.
post	почта, почтовый	The post office is closing in three minutes, lol.
derive	выводить, извлекать	The aerial roots derive moisture from the air.
brute	животное, зверь, грубый	He is just a brute savage with no intellect.
belt	пояс	The police duty belt carries a lot of stuff.
miss	пропускать, упустить	We got off to walk around and missed the train.
recent	недавний, последний	The recent news turned out to be false.
reject	отвергать	She rejected me once and for all.
leaf (pl: leaves)	лист	All the clover has four leaves on that meadow.
locate	определить местоположение	It can locate the source of a sound very precisely.
reason	разум, благоразумие	Human reason is not capable of it.
treasure	сокровище	I've read Treasure Island 4 or 5 times.
former	бывший	Bob is a former rockstar. Everybody knows him.
sign	знак	This is a flood level sign.
failure	неудача, провал	Failure is a part of success.
recycle	перерабатывать	They recycle up to 60 percent of all paper.
caution	предосторожность, предостережение	Bob just didn't notice the caution sign.
labour	труд, трудиться	Labour is a curse of humanity.
do without	обойтись без	A man can do without food for forty days.
spot	место	But Jim pointed at an empty spot and said: 'Here'.
offence (offense)	преступление, нарушение	Elephant poaching is an offense.
gang	банда, шайка	What do you know about street gangs!
pursuit	преследование	After a short pursuit, the gull took the fish away.
age	век, эпоха	This period is called the Dark Ages.
rise (rose, risen)	подниматься, повышаться	The water keeps rising, and people keep leaving.
regret	сожалеть, сожаление	There is only one thing I regret in my life.
reserve	бронировать	All the tables are reserved except the worst one.
yet	всё же	This hotel is very nice, and yet quite cheap.
youth	молодёжь, молодость	Youth likes parties.
surround	окружать	The lake is surrounded by coniferous forest.
vital	жизненный, жизненно важный	Vitamins are vital for body metabolism.
wrong	не тот	I seem to have married the wrong man.
insect	насекомое	Ladybug is the only insect I can stand.
construction (site)	стройка	I worked on a construction site with Mexicans.
prospect	перспектива, вид будущего	We have splendid prospects for this year.
success	успех	Now we know that our success was an accident.
liable	подлежащий	All of them are liable to deportation.
contend	бороться, соперничать	Mortals must not contend with immortals.
dream	сон (видение)	I know why the dream felt so real.
whereas	тогда как	He is tall and white, whereas I'm short and black.
blow out	задуть (свечу)	Blow out the candle. Make a wish.
regard	считать, рассматривать	Cats regard humans as mobile furniture.
suggest	предлагать	I suggested him not to do it at all.
solve	решить	Learn to solve the Rubik's Cube in six steps.
confuse	путать	I'm confused about these wires.
join	присоединить (ся)	Wanna join us?
horrible	ужасный, отвратительный	Guam bat soup is a horrible dish.
take off	взлететь	The plane is taking off, please take your seats.
grow up	вырастать	The puppy grew up to be a very nice dog.
express	выражать	You can express yourself in any way you want.
take a look	взглянуть	Open your eyes, take a look at the sky.
series	сериал	How much time have you spent watching TV series?
conserve	беречь, экономить	On the station water must be conserved.
plot	план, чертёж	I made up a plot. Look.
tube	труба	Let's order free samples of the tubes.
minor	второстепенный, незначительный	I scratched my car in a minor accident.
explode	взрываться	Last night he was exploded in his car.
honest	честный	To be honest, I approve of slavery.
track	след, выслеживать	We tracked him for about 3 hours.
odd	необычный, неправильный	This odd building is called Krzywy Domek.
guide	вести, направлять	I can guide you through the forest.
bat	летучая мышь	Don't be afraid of bats. They are harmless.
income	доход	I have a modest, but permanent income.
habit	привычка, обычай	He has a habit of picking his nose.
poison	яд, травить	My wife can cook poisons.
volume	том, книга	Can you please pass me the first volume?
either	тоже (не)	In fact, I can't play guitar. And I can't sing either.
fortune	состояние (деньги)	He earned his fortune through hard work.
fist	кулак	You wanna test my fists?
crop	урожай	The crop is gathered, we can relax.
improve	улучшить	A good plastic surgeon can improve your face.
loyal	верный, преданный	Bruno is my loyal battle comrade.
wheel	колесо	I like Ferris Wheels, but I'm afraid of heights.
meet (met, met)	встретить или познакомиться	I met my future husband in Berlin.
horn	рог	They have bad temper and sharp horns.
strip	снимать (обнажать)	The wind stripped the leaves from the trees.
sacred	священный	Where he died, a sacred tree now grows.
dip	окунать, погружать	He thoughtfully dipped a french fry in ketchup.
fence	забор, огораживать	Unfortunately, now it's fenced and locked.
deep	глубокий	Crater Lake is the deepest in the United States.
dismiss	отклонить, отбросить	All proposals were dismissed for various reasons.
